ID;NOM;TYPE;PROP_VEGE_HAUTE;ADRESSE;ARRONDISSEMENT;OUVERTURE;OUVERTURE_24H;OUVERTURE_CANICULE;HORAIRES_LUNDI;HORAIRES_MARDI;HORAIRES_MERCREDI;HORAIRES_JEUDI;HORAIRES_VENDREDI;HORAIRES_SAMEDI;HORAIRES_DIMANCHE;LATITUDE;LONGITUDE
65;CIMETIERE DE BERCY;Cimetières;3.7978450000000006;329, rue de Charenton;75012;Ouvert;Non;Non;08:00 - 12:00 / 14:00 - 17:30;08:00 - 12:00 / 14:00 - 17:30;08:00 - 12:00 / 14:00 - 17:30;08:00 - 12:00 / 14:00 - 17:30;08:00 - 12:00 / 14:00 - 17:30;08:30 - 12:00 / 14:00 - 17:30;09:00 - 12:00 / 14:00 - 17:30;48.8327479168;2.39754562563
66;Bois de Vincennes;Bois;13.065517000000002;;75012;Ouvert;Non;Non;00:00 - 23:59;00:00 - 23:59;00:00 - 23:59;00:00 - 23:59;00:00 - 23:59;00:00 - 23:59;00:00 - 23:59;48.8281362375;2.41592033956
67;Bois de Vincennes;Bois;57.825691;;75012;Ouvert;Non;Non;00:00 - 23:59;00:00 - 23:59;00:00 - 23:59;00:00 - 23:59;00:00 - 23:59;00:00 - 23:59;00:00 - 23:59;48.8342588752;2.45642408467
68;Ferme de Paris;Bois;10.332772;25 w Route du Pesage;75012;;Non;Non;;;;;;;;48.8224840217;2.4444095645
69;PROMENADE PC 12 - DAUMESNIL - SAHEL;Promenades ouvertes;60.00000000000001;22 RUE DE MONTEMPOIVRE;75012;Ouvert;Non;Non;00:00 - 23:59;00:00 - 23:59;00:00 - 23:59;00:00 - 23:59;00:00 - 23:59;00:00 - 23:59;00:00 - 23:59;48.8384674638;2.40674973833
70;SQUARE VIOLET;Promenades ouvertes;44.024862000000006;4 B PL VIOLET;75015;Ouvert;Non;Non;08:00 - 18:00;08:00 - 18:00;08:00 - 18:00;08:00 - 18:00;08:00 - 18:00;09:00 - 18:00;09:00 - 18:00;48.8439973357;2.28973499169
71;SQUARE ERNEST CHAUSSON;Promenades ouvertes;1.945106;55 AV CLICHY;75017;Ouvert;Non;Non;08:00 - 18:00;08:00 - 18:00;08:00 - 18:00;08:00 - 18:00;08:00 - 18:00;09:00 - 18:00;09:00 - 18:00;48.8873792054;2.32503604733
72;JARDIN LILY LASKINE;Promenades ouvertes;2.395897;35 RUE JACQUES IBERT;75017;Ouvert;Non;Non;09:30 - 18:00;09:30 - 18:00;09:30 - 18:00;09:30 - 18:00;09:30 - 18:00;09:00 - 18:00;09:00 - 18:00;48.8870668328;2.28818017226
73;JARDIN DE LA MAIRIE DU VIIIEME;Promenades ouvertes;31.994404999999997;3 RUE LISBONNE;75008;Ouvert;Non;Non;08:00 - 18:30;08:00 - 18:30;08:00 - 18:30;08:00 - 18:30;08:00 - 18:30;09:00 - 18:30;09:00 - 18:30;48.8776127496;2.31792364632
74;Bois de Vincennes;Bois;62.742388999999996;;75012;Ouvert;Non;Non;00:00 - 23:59;00:00 - 23:59;00:00 - 23:59;00:00 - 23:59;00:00 - 23:59;00:00 - 23:59;00:00 - 23:59;48.844499989;2.44859576494
75;SQUARE DU PASSAGE LEON;Promenades ouvertes;18.63442;20 RUE GARDES;75018;Ouvert;Non;Non;08:00 - 18:00;08:00 - 18:00;08:00 - 18:00;08:00 - 18:00;08:00 - 18:00;09:00 - 18:00;09:00 - 18:00;48.886157587;2.35338676275
76;JARDIN MARIA VERONE;Promenades ouvertes;7.488731;2 RUE MOSKOVA;75018;Ouvert;Non;Non;08:00 - 18:00;08:00 - 18:00;08:00 - 18:00;08:00 - 18:00;08:00 - 18:00;09:00 - 18:00;09:00 - 18:00;48.8968988986;2.33590076309
77;SQUARE DE LA ROQUETTE;Promenades ouvertes;22.607915000000002;147 RUE ROQUETTE;75011;Ouvert;Non;Non;08:00 - 19:00;08:00 - 19:00;08:00 - 19:00;08:00 - 19:00;08:00 - 19:00;09:00 - 19:00;09:00 - 19:00;48.8596845236;2.38466872945
78;SQUARE ALBERT TOURNAIRE;Promenades ouvertes;62.596932;4 X PL MAZAS;75012;Ouvert;Non;Non;09:30 - 18:00;09:30 - 18:00;09:30 - 18:00;09:30 - 18:00;09:30 - 18:00;09:00 - 18:00;09:00 - 18:00;48.8452408783;2.36778376937
79;Bois de Vincennes;Bois;71.363774;;75012;Ouvert;Non;Non;00:00 - 23:59;00:00 - 23:59;00:00 - 23:59;00:00 - 23:59;00:00 - 23:59;00:00 - 23:59;00:00 - 23:59;48.8370482633;2.43867705683
80;Bois de Vincennes;Bois;68.01148;;75012;Ouvert;Non;Non;00:00 - 23:59;00:00 - 23:59;00:00 - 23:59;00:00 - 23:59;00:00 - 23:59;00:00 - 23:59;00:00 - 23:59;48.841023827;2.42899360812
81;Bois de Vincennes;Bois;84.241918;;75012;Ouvert;Non;Non;00:00 - 23:59;00:00 - 23:59;00:00 - 23:59;00:00 - 23:59;00:00 - 23:59;00:00 - 23:59;00:00 - 23:59;48.8338001594;2.44454037731
82;SQUARE EMILY DICKINSON;Promenades ouvertes;41.359209;28 RUE ORMEAUX;75020;Ouvert;Non;Non;08:00 - 18:00;08:00 - 18:00;08:00 - 18:00;08:00 - 18:00;08:00 - 18:00;09:00 - 18:00;09:00 - 18:00;48.8508901649;2.40016721336
83;Jardin de la rue de la Justice;Promenades ouvertes;39.582098;60 RUE JUSTICE;75020;Ouvert;Non;Non;08:00 - 18:00;08:00 - 18:00;08:00 - 18:00;08:00 - 18:00;08:00 - 18:00;09:00 - 18:00;09:00 - 18:00;48.8682882569;2.40852760099
84;Square Antoine BLONDIN;Promenades ouvertes;32.113047;126 RUE BAGNOLET;75020;Ouvert;Non;Non;08:00 - 18:00;08:00 - 18:00;08:00 - 18:00;08:00 - 18:00;08:00 - 18:00;09:00 - 18:00;09:00 - 18:00;48.8605422393;2.4053077842
