ID;NOM;TYPE;PAYANT;ADRESSE;ARRONDISSEMENT;OUVERTURE;HORAIRES_LUNDI;HORAIRES_MARDI;HORAIRES_MERCREDI;HORAIRES_JEUDI;HORAIRES_VENDREDI;HORAIRES_SAMEDI;HORAIRES_DIMANCHE;LATITUDE;LONGITUDE
197;Brumisateur Square Casque d'Or;Brumisateur;Non;12 rue Michel de Bourges;75020;Ouvert;;;;;;;;48.8541934435;2.40125421778
198;Eglise Reformée du Saint-Esprit;Lieux de culte;Non;5  RUE ROQUEPINE;75008;;;;;;;;;48.8732287658;2.31988741335
199;Eglise Saint-Georges;Lieux de culte;Non;2  RUE EDOUARD PAILLERON;75019;;;;;;;;;48.8793837898;2.37485555649
200;Eglise Saint-Jean de Montmartre;Lieux de culte;Non;19  RUE ABBESSES;75018;;;;;;;;;48.8842062597;2.33788197593
201;Eglise Sainte-Odile;Lieux de culte;Non;2  AV STEPHANE MALLARME;75017;;;;;;;;;48.8871199187;2.29280825601
202;Basilique Sainte-Jeanne d'arc;Lieux de culte;Non;18  RUE CHAPELLE;75018;;;;;;;;;48.8915721267;2.36059390145
203;Eglise Notre-Dame de Clignancourt;Lieux de culte;Non;2  PL JULES JOFFRIN;75018;;;;;;;;;48.8931354116;2.34504134718
204;MAIRIE DU  9E;Mairie d'arrondissement;Non;6 rue DROUOT;75009;Fermé;8h30 - 17h;8h30 - 17h;8h30 - 17h;16:00 - 17:00;8h30 - 17h;9h - 12h30;Fermé;48.8725509994;2.3404810072
205;Eglise Notre-Dame de la Salette;Lieux de culte;Non;38  RUE CRONSTADT;75015;;;;;;;;;48.8337073797;2.30012865339
206;Eglise de l'immaculée Conception;Lieux de culte;Non;14  RUE MARSOULAN;75012;;;;;;;;;48.8459406192;2.40349005078
207;Eglise Saint-Ephrem-le-Syriaque;Lieux de culte;Non;17 Rue des Carmes;75005;;;;;;;;;48.8483574452;2.34771857366
208;Eglise Saint-Leon;Lieux de culte;Non;29  RUE DUPLEIX;75015;;;;;;;;;48.8509183404;2.29661591237
209;Bibliothèque Jacqueline de Romilly;Bibliothèque;Non;16 avenue de la Porte Montmartre;75018;Ouvert;;13:30 - 17:30;13:30 - 17:30;13:30 - 17:30;13:30 - 17:30;12:30 - 17:30;;48.8994538364;2.3364694332
210;Terrain de boules de Saint-Maurice;Terrain de boules;;8 ROUTE SAINT LOUIS;75012;;;;;;;;;48.825909044;2.42537365406
211;Eglise Saint-Pierre du Gros Caillou;Lieux de culte;Non;92 Rue Saint-Dominique;75007;;;;;;;;;48.8596700198;2.30519772773
212;Temple de l'Oratoire;Lieux de culte;Non;1  RUE ORATOIRE;75001;;;;;;;;;48.8616525145;2.33998280805
213;Eglise Orthodoxe Grecque;Lieux de culte;Non;7  RUE GEORGES BIZET;75016;;;;;;;;;48.8665813637;2.29844649774
214;Eglise Saint-Honore d'Eylau;Lieux de culte;Non;9  PL VICTOR HUGO;75016;;;;;;;;;48.8691308266;2.28470449133
215;Eglise  Notre-Dame des Otages;Lieux de culte;Non;81  RUE HAXO;75020;;;;;;;;;48.8741242015;2.40249613893
216;Eglise Saint-François d'assise;Lieux de culte;Non;5  RUE MOUZAIA;75019;;;;;;;;;48.8803227538;2.3915407859
217;Eglise Orthodoxe Saint-Serge;Lieux de culte;Non;93  RUE CRIMEE;75019;;;;;;;;;48.8834496083;2.38392386744
218;Piscine Bertrand Dauvin;Piscine;Oui;12, rue René Binet;75018;Ouvert;10:00 - 18:00;08:30 - 18:00;08:00 - 12:30 / 13:30 - 18:00 / 17:30 - 20:00;08:30 - 20:30;08:00 - 12:30 / 13:30 - 18:00;08:00 - 12:30 / 13:30 - 18:00;08:00 - 12:30 / 13:30 - 18:00;48.8995971389;2.34235655642
219;Piscine de la Butte aux Cailles;Piscine;Oui;5, place Paul Verlaine;75013;Ouvert;12:30 - 18:00;08:00 - 12:30 / 13:30 - 18:00;08:00 - 12:30 / 13:30 - 18:00;08:00 - 12:30 / 13:30 - 18:00;08:00 - 12:30 / 13:30 - 18:00;08:00 - 12:30 / 13:30 - 18:00;08:00 - 12:30 / 13:30 - 18:00;48.8269135528;2.35289185585
220;Eglise Lutherienne de Bon Secours;Lieux de culte;Non;20  RUE TITON;75011;;;;;;;;;48.8520235696;2.38669492196
221;Bain-douche Saint-Merri;Bains-douches;Non;18, rue du Renard;75004;Fermé;;;;;;;;48.8591995139;2.35253737846
222;Musée des Arts Décoratifs;Musée;Oui;107 Rue de Rivoli;75001;;;;;;;;;48.8630526995;2.33350480533
223;Piscine Catherine Lagatu;Piscine;Oui;155 avenue Parmentier;75010;Ouvert;12:30 - 18:00;08:00 - 12:30 / 13:30 - 18:00;08:00 - 12:30 / 13:30 - 18:00;08:00 - 12:30 / 13:30 - 18:00;08:00 - 12:30 / 13:30 - 18:00;08:00 - 12:30 / 13:30 - 18:00;08:00 - 12:30 / 13:30 - 18:00;48.8717029831;2.36927152305
224;Ombrière;Ombrière;Non;38 PLACE JEANNE D'ARC;75013;Ouvert;;;;;;;;48.8304724821;2.36792140181
225;Eglise Saint-Jean Baptiste de Belleville;Lieux de culte;Non;4  RUE LASSUS;75019;;;;;;;;;48.8756903174;2.38931213411
226;Piscine Edouard Pailleron;Piscine;Oui;32, rue Edouard Pailleron;75019;Fermé;08:00 - 16:00;08:00 - 22:30;08:00 - 22:30;08:00 - 22:30;08:00 - 22:30;09:00 - 22:30;09:00 - 18:00;48.8805184194;2.37770892707
227;MAIRIE DU  6E;Mairie d'arrondissement;Non;78 rue BONAPARTE;75006;;8h30 - 17h;8h30 - 17h;8h30 - 17h;8h30 - 17h;8h30 - 17h;9h - 12h30;Fermé;48.8504911611;2.33258356462
228;MAIRIE DU 16E;Mairie d'arrondissement;Non;71 avenue HENRI MARTIN;75016;;8h30 - 17h;8h30 - 17h;8h30 - 17h;8h30 - 17h;8h30 - 17h;9h - 12h30;Fermé;48.8639444647;2.27668643992
229;MAIRIE DU  8E;Mairie d'arrondissement;Non;3 RUE DE LISBONNE;75008;;8h30 - 17h;8h30 - 17h;8h30 - 17h;8h30 - 17h;8h30 - 17h;9h - 12h30;Fermé;48.8777822829;2.31750814871
230;Piscine Château des Rentiers;Piscine;Oui;184, rue du Château des Rentiers;75013;Ouvert;08:00 - 12:30 / 13:30 - 18:00;08:00 - 12:30 / 13:30 - 18:00;08:00 - 12:30 / 13:30 - 18:00;08:30 - 18:00;08:30 - 18:00;08:00 - 12:30 / 13:30 - 18:00;08:00 - 12:30 / 13:30 - 18:00;48.8307060734;2.36304618779
231;Musée de Cluny;Musée;Oui;6 place Paul Painlevé;75005;;;;;;;;;48.8505464394;2.34376845585
232;Eglise Saint-Jean Bosco;Lieux de culte;Non;77  RUE ALEXANDRE DUMAS;75020;;;;;;;;;48.8551875808;2.39796539091
233;Eglise Saint-Gervais Saint-Protais;Lieux de culte;Non;13  RUE BARRES;75004;;;;;;;;;48.855514898;2.35471539148
234;Bain-douche des Deux-Ponts;Bains-douches;Non;8, rue des Deux-Ponts;75004;Fermé;;;;;;;;48.8514780205;2.35634283279
235;Synagogue Agoudas Hakehilos;Lieux de culte;Non;10  RUE PAVEE;75004;;;;;;;;;48.8559358121;2.36068220347
236;Chapelle Jésus-Enfant;Lieux de culte;Non;27b RUE LAS CASES;75007;;;;;;;;;48.8589685779;2.31832393103
237;Cathedrale Americaine de la Sainte-Trinite;Lieux de culte;Non;23  AV GEORGE V;75008;;;;;;;;;48.8675116785;2.30063671034
238;Brumisateur Jardin du Ranelagh;Brumisateur;Non;1 avenue Prudhon;75016;Ouvert;;;;;;;;48.8586583471;2.26934728638
239;Brumisateur Square Petit;Brumisateur;Non;27 RUE PETIT;75019;Ouvert;;;;;;;;48.8850593618;2.38207695974
240;Eglise de la Sainte-Trinite;Lieux de culte;Non;2  RUE MORLOT;75009;;;;;;;;;48.8773205742;2.3313883145
241;Piscine des Amiraux;Piscine;Oui;6, rue Hermann Lachapelle;75018;Ouvert;08:00 - 12:30 / 13:30 - 18:00;08:00 - 12:30 / 13:30 - 18:00;08:00 - 12:30 / 13:30 - 18:00;08:00 - 12:30 / 13:30 - 18:00;12:30 - 18:00;08:00 - 12:30 / 13:30 - 18:00;08:00 - 12:30 / 13:30 - 18:00;48.894359428;2.35100351519
242;Fondation Louis Vuitton;Musée;Oui;8 Avenue du Mahatma Gandhi;75016;;;;;;;;;48.8766504322;2.26340106255
243;Musée des Arts Forains;Musée;Oui;53 Avenue des Terroirs de France;75012;;;;;;;;;48.832803114;2.3892970604
244;Eglise Saint-Etienne du Mont;Lieux de culte;Non;1  RUE SAINT-ETIENNE DU MONT;75005;;;;;;;;;48.8465194243;2.34821891092
245;Eglise Saint-Nicolas du Chardonnet;Lieux de culte;Non;23  RUE BERNARDINS;75005;;;;;;;;;48.8491358886;2.35037586723
246;Bain-douche Oberkampf;Bains-douches;Non;42, rue Oberkampf;75011;;;;;;;;;48.8645080373;2.37212241053
