ID;TYPE;MODELE;VOIE;COMMUNE;DISPONIBILITE;DEBUT_INDISPO;FIN_INDISPO;MOTIF_INDISPO;LATITUDE;LONGITUDE
227;FONTAINE_ARCEAU;Fontaine Arceau;BOULEVARD DE VAUGIRARD;PARIS 15EME ARRONDISSEMENT;OUI;;;;48.8412174792;2.31733450276
228;FONTAINE_ARCEAU;;AVENUE RENE COTY;PARIS 14EME ARRONDISSEMENT;OUI;;;;48.8315620365;2.33346840319
229;FONTAINE_BOIS;Ville de Paris Bois;ROUTE DES LACS A MADRID;PARIS 16EME ARRONDISSEMENT;OUI;;;;48.8706944713;2.25896246725
230;FONTAINE_BOIS;Wallace Bois;ROUTE DE LA TOURELLE;PARIS 12EME ARRONDISSEMENT;NON;2020-06-23T04:00:00+02:00;2021-03-31T04:00:00+02:00;APP A REPARER;48.8357513816;2.43047129372
231;FONTAINE_BOIS;Wallace Bois;ROUTE DE LA TOURELLE;PARIS 12EME ARRONDISSEMENT;NON;2020-11-23T02:00:00+01:00;2021-04-30T04:00:00+02:00;FERMETURE HIVERNALE;48.8403170761;2.42840677233
232;FONTAINE_BOIS;Fontaine des Bois, Parcs et Jardins;ALLEE ADRIENNE LECOUVREUR;PARIS 7EME ARRONDISSEMENT;NON;2020-12-08T02:00:00+01:00;2021-04-30T04:00:00+02:00;FERMETURE HIVERNALE;48.8562079798;2.29938804398
233;FONTAINE_BOIS;Particulier;RUE DES POISSONNIERS;PARIS 18EME ARRONDISSEMENT;OUI;;;;48.8949790558;2.35322563135
234;FONTAINE_BOIS;GHM Bois;SQUARE ANDRE LEFEVRE;PARIS 5EME ARRONDISSEMENT;NON;2020-12-07T02:00:00+01:00;2021-04-30T04:00:00+02:00;FERMETURE HIVERNALE;48.8516502862;2.34541097053
235;FONTAINE_BOIS;Particulier;SQUARE SAINT LAMBERT;PARIS 15EME ARRONDISSEMENT;NON;2020-12-09T02:00:00+01:00;2021-04-30T04:00:00+02:00;FERMETURE HIVERNALE;48.8418132796;2.29722911717
236;FONTAINE_BOIS;Ville de Paris Bois;ROUTE DE LA SEINE A LA BUTTE-MORTEMART;PARIS 16EME ARRONDISSEMENT;NON;2020-11-16T02:00:00+01:00;2021-04-13T04:00:00+02:00;FERMETURE HIVERNALE;48.8527866096;2.24783478428
237;FONTAINE_BOIS;GHM Bois;SQUARE LOUIS SAY;PARIS 13EME ARRONDISSEMENT;NON;2020-12-03T02:00:00+01:00;2021-04-30T04:00:00+02:00;FERMETURE HIVERNALE;48.8323570489;2.36191747917
238;FONTAINE_BOIS;Particulier;QUAI D ORSAY;PARIS 7EME ARRONDISSEMENT;NON;2020-12-08T02:00:00+01:00;2021-04-30T04:00:00+02:00;FERMETURE HIVERNALE;48.8626604056;2.30642890885
239;FONTAINE_BOIS;GHM Bois;PARC DE CHOISY;PARIS 13EME ARRONDISSEMENT;NON;2020-12-03T02:00:00+01:00;2021-04-30T04:00:00+02:00;FERMETURE HIVERNALE;48.8284866984;2.36046266959
240;FONTAINE_BOIS;Fontaine des Bois, Parcs et Jardins;RUE MARIA DERAISMES;PARIS 17EME ARRONDISSEMENT;OUI;;;;48.8947532663;2.32650239828
241;FONTAINE_BOIS;Ville de Paris Bois;ROUTE DE SEVRES A NEUILLY;PARIS 16EME ARRONDISSEMENT;NON;2020-11-18T02:00:00+01:00;2021-04-30T04:00:00+02:00;FERMETURE HIVERNALE;48.8521786712;2.23794780905
242;FONTAINE_BOIS;GHM Bois;PARC DE BELLEVILLE;PARIS 20EME ARRONDISSEMENT;OUI;;;;48.8711202806;2.38553023273
243;FONTAINE_BOIS;GHM Bois;JARDIN DES CHAMPS ELYSEES;PARIS 8EME ARRONDISSEMENT;OUI;;;;48.8671615942;2.31118629594
244;FONTAINE_BOIS;Bayard D1;BOULEVARD DU GENERAL MARTIAL VALIN;PARIS 15EME ARRONDISSEMENT;NON;2020-12-08T02:00:00+01:00;2021-04-30T04:00:00+02:00;FERMETURE HIVERNALE;48.8375155129;2.27207197379
245;FONTAINE_BOIS;GHM Bois;AVENUE JEAN AICARD;PARIS 11EME ARRONDISSEMENT;OUI;;;;48.8658495463;2.38075556383
246;FONTAINE_BOIS;GHM Bois;SQUARE JEHAN RICTUS;PARIS 18EME ARRONDISSEMENT;NON;2021-02-09T02:00:00+01:00;2021-04-30T04:00:00+02:00;FERMETURE HIVERNALE;48.8848248521;2.3386301698
247;FONTAINE_BOIS;Bayard D1;RUE ANDRE BRECHET;PARIS 17EME ARRONDISSEMENT;OUI;;;;48.8989958323;2.32482461162
248;FONTAINE_BOIS;Bayard D1;RUE DE LA MOSKOWA;PARIS 18EME ARRONDISSEMENT;OUI;;;;48.8968291253;2.33562548625
249;FONTAINE_BOIS;GHM Bois;JARDIN DES CHAMPS ELYSEES;PARIS 8EME ARRONDISSEMENT;NON;2020-12-04T02:00:00+01:00;2021-04-30T04:00:00+02:00;;48.8692078263;2.31236112924
250;FONTAINE_BOIS;Bayard D1;PASSAGE CHARLES DALLERY;PARIS 11EME ARRONDISSEMENT;NON;2020-12-07T02:00:00+01:00;;FERMETURE HIVERNALE;48.8560217562;2.37676209797
251;FONTAINE_BOIS;Fontaine des Bois, Parcs et Jardins;RUE DU GENERAL BLAISE;PARIS 11EME ARRONDISSEMENT;NON;2020-12-07T02:00:00+01:00;2021-04-30T04:00:00+02:00;FERMETURE HIVERNALE;48.8616393523;2.37856324334
252;FONTAINE_BOIS;GHM Bois;RUE LOUIS LUMIERE;PARIS 20EME ARRONDISSEMENT;NON;2020-12-07T02:00:00+01:00;2021-04-30T04:00:00+02:00;FERMETURE HIVERNALE;48.860160823;2.41150292306
253;FONTAINE_BOIS;Fontaine des Bois, Parcs et Jardins;PARC MONCEAU;PARIS 8EME ARRONDISSEMENT;NON;2020-12-04T02:00:00+01:00;2021-04-30T04:00:00+02:00;FERMETURE HIVERNALE;48.8793603701;2.30878394035
254;FONTAINE_BOIS;Fontaine des Bois, Parcs et Jardins;SQUARE BERLIOZ;PARIS 9EME ARRONDISSEMENT;NON;2020-12-11T02:00:00+01:00;2021-04-30T04:00:00+02:00;FERMETURE HIVERNALE;48.8832529598;2.33007533708
